Age,Gender,Work hours,Screen time,Sleep time,Exercise frequency,Mood Stability,Fatigue level,Headache,Social Connections,Work Stress,Personal Time Satisfaction,Overall_Balance_Score,Sleep_Hours
45 - 60,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,Never,Neutral,Often tired,Never,Moderate,High,Poor,0,6.479920464779891
30 - 45,Female,9 - 10 hours,4 - 6 hours,6 - 8 hours,Never,Neutral,Fresh,Sometimes,Strong,Medium,Poor,1,6.710207656170849
22 - 30,Female,7 - 8 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Frequently,Weak,Low,Good,2,8.544489538593314
45 - 60,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Moderate,High,Average,0,5.1447076899494455
16 - 21,Female,7 - 8 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Often tired,Never,Weak,High,Good,0,6.1197488917092695
30 - 45,Male,Less than 7 hours,4 - 6 hours,6 - 8 hours,Never,Neutral,Fresh,Never,Weak,Medium,Poor,1,6.259802804865023
45 - 60,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,Daily,Stable,Occasionally tired,Sometimes,Moderate,Low,Poor,1,6.65077747385696
16 - 21,Female,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Exhausted,Never,Weak,Low,Good,2,7.397431363068344
16 - 21,Male,9 - 10 hours,More than 6 hours,6 - 8 hours,Never,Unstable,Occasionally tired,Never,Moderate,Low,Poor,0,5.009281309527528
22 - 30,Female,More than 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Moderate,High,Poor,0,5.863005444447858
30 - 45,Female,More than 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Sometimes,Moderate,Medium,Good,0,6.020455719779373
30 - 45,Female,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Unstable,Exhausted,Sometimes,Weak,Medium,Poor,0,5.691277481215689
22 - 30,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Never,Moderate,Low,Average,0,5.443152377100317
22 - 30,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Weak,High,Good,0,5.3236818282945375
30 - 45,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,Daily,Unstable,Exhausted,Frequently,Moderate,Low,Average,0,5.19773653308599
30 - 45,Female,7 - 8 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Moderate,Medium,Poor,1,6.59775710159606
45 - 60,Male,More than 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Neutral,Fresh,Sometimes,Strong,High,Poor,0,6.3590582884956515
45 - 60,Male,More than 10 hours,Less than 2 hours,More than 8 hours,Never,Unstable,Occasionally tired,Frequently,Strong,Low,Good,1,6.923775147078325
22 - 30,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Neutral,Occasionally tired,Never,Strong,Low,Poor,2,7.011044234247205
45 - 60,Female,More than 10 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Weak,High,Good,0,6.161238815575459
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Often tired,Never,Weak,Medium,Good,2,8.630922856909669
45 - 60,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Moderate,High,Good,0,6.430053821333026
45 - 60,Female,9 - 10 hours,2 - 4 hours,6 - 8 hours,Never,Unstable,Exhausted,Sometimes,Moderate,Low,Good,1,6.9526404763014655
16 - 21,Male,More than 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Often tired,Never,Moderate,Low,Good,1,6.067956014658066
22 - 30,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Neutral,Often tired,Frequently,Moderate,Low,Average,1,6.561918921939707
16 - 21,Female,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Weak,Low,Good,1,6.938789873571355
45 - 60,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,Never,Unstable,Often tired,Sometimes,Moderate,Medium,Average,0,4.748594446971089
22 - 30,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Often tired,Frequently,Moderate,Medium,Poor,0,5.961734950407289
45 - 60,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Strong,Low,Good,2,8.413714687695235
16 - 21,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Exhausted,Never,Moderate,Medium,Poor,0,6.376680913642076
16 - 21,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,Daily,Neutral,Often tired,Frequently,Moderate,Medium,Good,2,8.458014336081975
45 - 60,Female,7 - 8 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Fresh,Frequently,Moderate,Medium,Average,1,6.754704387870132
30 - 45,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Stable,Often tired,Frequently,Weak,Low,Average,2,8.542540693371892
30 - 45,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Never,Neutral,Often tired,Never,Strong,High,Average,0,4.8624661323313205
16 - 21,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,Daily,Neutral,Exhausted,Never,Moderate,High,Poor,0,4.632992534733555
16 - 21,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Exhausted,Sometimes,Moderate,High,Good,0,5.982241298580118
30 - 45,Female,7 - 8 hours,More than 6 hours,More than 8 hours,Daily,Stable,Often tired,Never,Strong,Low,Poor,2,7.148089303468181
30 - 45,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Neutral,Exhausted,Sometimes,Moderate,Medium,Average,0,5.648946226359824
45 - 60,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Stable,Occasionally tired,Frequently,Weak,Medium,Poor,0,6.183657553516544
45 - 60,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,Never,Neutral,Exhausted,Sometimes,Moderate,Low,Average,0,4.779544753252579
30 - 45,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,Daily,Stable,Exhausted,Sometimes,Weak,Low,Average,2,7.716931457088545
45 - 60,Female,More than 10 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Weak,High,Average,0,6.090534623719781
45 - 60,Male,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Stable,Exhausted,Sometimes,Moderate,High,Good,1,7.284734761782484
22 - 30,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,Daily,Stable,Fresh,Never,Strong,Low,Good,2,7.231738119050259
45 - 60,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Fresh,Never,Weak,High,Average,1,6.988040447428418
16 - 21,Male,More than 10 hours,More than 6 hours,6 - 8 hours,Never,Stable,Fresh,Never,Strong,Medium,Poor,1,6.2444016406221445
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,Daily,Stable,Often tired,Never,Moderate,Low,Poor,1,6.105853121100645
45 - 60,Male,More than 10 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Often tired,Sometimes,Weak,Low,Good,1,6.963628917309474
30 - 45,Male,9 - 10 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Moderate,Medium,Average,0,4.903254640095489
16 - 21,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,Daily,Stable,Fresh,Frequently,Strong,Medium,Poor,2,8.726206851751186
45 - 60,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Moderate,Medium,Average,0,4.827311885731409
45 - 60,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Exhausted,Sometimes,Moderate,High,Poor,0,4.828531595861985
22 - 30,Female,7 - 8 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Exhausted,Sometimes,Weak,Low,Good,1,6.039766965812433
45 - 60,Male,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Fresh,Frequently,Moderate,High,Average,0,6.129149440462764
45 - 60,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Stable,Occasionally tired,Never,Moderate,Medium,Average,2,8.246596253655117
22 - 30,Female,More than 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Occasionally tired,Sometimes,Moderate,High,Poor,0,5.8303944413924
30 - 45,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Unstable,Exhausted,Frequently,Weak,Medium,Poor,0,5.546130849538239
45 - 60,Female,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Occasionally tired,Frequently,Strong,High,Poor,0,5.217660968247005
22 - 30,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Strong,High,Average,1,6.878663371910195
16 - 21,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,Never,Unstable,Exhausted,Never,Moderate,Medium,Good,0,6.2544010816262166
30 - 45,Female,7 - 8 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Weak,High,Good,1,7.410345362137436
16 - 21,Female,7 - 8 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Often tired,Frequently,Moderate,Low,Poor,1,6.863211266813819
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,Daily,Stable,Occasionally tired,Never,Strong,High,Good,2,7.661796049705298
22 - 30,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,Daily,Neutral,Exhausted,Frequently,Weak,High,Poor,0,5.284890214845271
45 - 60,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,Never,Stable,Exhausted,Frequently,Strong,Low,Good,2,7.1271167005720475
22 - 30,Male,More than 10 hours,4 - 6 hours,6 - 8 hours,Never,Unstable,Often tired,Frequently,Strong,Medium,Average,0,6.133198878943154
22 - 30,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Exhausted,Frequently,Weak,Low,Poor,0,5.378269817140437
22 - 30,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Weak,High,Good,0,5.253888858849815
22 - 30,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Exhausted,Never,Moderate,Medium,Average,0,5.425359571339213
30 - 45,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Sometimes,Moderate,High,Good,1,6.582254889309783
45 - 60,Female,9 - 10 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Exhausted,Sometimes,Strong,High,Average,0,5.102755748328284
16 - 21,Female,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Fresh,Sometimes,Weak,Low,Average,0,5.995218760352502
16 - 21,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Weak,Low,Good,1,6.964932327663529
45 - 60,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,Daily,Unstable,Exhausted,Never,Moderate,Medium,Good,1,6.687379335737275
16 - 21,Female,Less than 7 hours,2 - 4 hours,6 - 8 hours,Daily,Neutral,Exhausted,Never,Strong,Medium,Average,1,6.818425183973902
45 - 60,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,Daily,Stable,Fresh,Never,Strong,Medium,Average,1,7.412197213164788
16 - 21,Male,More than 10 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Moderate,High,Average,1,6.579153956701162
22 - 30,Male,More than 10 hours,2 - 4 hours,More than 8 hours,Never,Stable,Often tired,Frequently,Weak,Low,Poor,1,7.441785845735872
16 - 21,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,Daily,Stable,Often tired,Frequently,Moderate,Low,Average,1,7.358025962934096
45 - 60,Female,9 - 10 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Occasionally tired,Sometimes,Moderate,Low,Poor,0,5.5054407801849585
45 - 60,Female,7 - 8 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Exhausted,Frequently,Moderate,Medium,Average,2,7.621964643431324
45 - 60,Female,More than 10 hours,4 - 6 hours,6 - 8 hours,Daily,Neutral,Exhausted,Sometimes,Moderate,Low,Poor,1,6.293686702183945
45 - 60,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Stable,Often tired,Frequently,Weak,Low,Average,2,7.650366644053494
45 - 60,Male,9 - 10 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Moderate,Low,Average,1,6.104041951312748
30 - 45,Female,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Unstable,Often tired,Frequently,Weak,Medium,Average,0,4.964425390293634
30 - 45,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,Daily,Neutral,Fresh,Frequently,Moderate,Low,Good,2,8.459212356676128
16 - 21,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Never,Strong,Medium,Good,2,8.275114942710426
45 - 60,Female,7 - 8 hours,Less than 2 hours,Less than 4 hours,Daily,Unstable,Fresh,Frequently,Weak,Low,Average,1,6.15116700206614
16 - 21,Female,More than 10 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Frequently,Strong,Low,Poor,1,6.027332738477325
45 - 60,Male,More than 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Exhausted,Never,Moderate,Low,Poor,1,6.1416644411338925
45 - 60,Male,More than 10 hours,2 - 4 hours,More than 8 hours,Never,Unstable,Often tired,Sometimes,Moderate,Medium,Average,0,6.299149146549137
30 - 45,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,Daily,Unstable,Exhausted,Never,Moderate,Medium,Good,0,5.267782442746423
30 - 45,Female,Less than 7 hours,4 - 6 hours,4 - 6 hours,Daily,Neutral,Exhausted,Never,Weak,Low,Poor,1,7.024510160124535
22 - 30,Female,9 - 10 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Often tired,Sometimes,Strong,High,Good,0,5.587105722227977
30 - 45,Female,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Often tired,Frequently,Weak,Medium,Poor,0,6.312944221929094
22 - 30,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Occasionally tired,Sometimes,Weak,Medium,Average,0,5.748475991827984
22 - 30,Female,9 - 10 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Fresh,Frequently,Moderate,Low,Good,2,8.774425485152653
22 - 30,Male,More than 10 hours,Less than 2 hours,More than 8 hours,Daily,Unstable,Fresh,Frequently,Strong,High,Poor,0,4.733796081416728
22 - 30,Female,7 - 8 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Moderate,Low,Average,1,6.106782972690343
22 - 30,Male,9 - 10 hours,More than 6 hours,4 - 6 hours,Never,Neutral,Often tired,Never,Weak,Medium,Average,0,6.37966424722695
16 - 21,Male,Less than 7 hours,4 - 6 hours,6 - 8 hours,Never,Neutral,Occasionally tired,Sometimes,Moderate,Medium,Average,1,6.478463445440642
30 - 45,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,Never,Stable,Occasionally tired,Frequently,Strong,Low,Good,2,7.944429850323899
22 - 30,Female,9 - 10 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Moderate,Low,Good,1,7.267312966454182
45 - 60,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Strong,High,Average,0,5.755416106142835
30 - 45,Female,Less than 7 hours,4 - 6 hours,6 - 8 hours,Daily,Neutral,Occasionally tired,Frequently,Strong,High,Good,2,7.239188491876604
30 - 45,Male,7 - 8 hours,More than 6 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Moderate,Medium,Poor,1,6.034907903603739
22 - 30,Male,More than 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Fresh,Sometimes,Weak,High,Average,0,5.169811229314172
16 - 21,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,Daily,Unstable,Fresh,Frequently,Moderate,High,Average,0,4.778544145326775
22 - 30,Male,9 - 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Often tired,Frequently,Weak,Medium,Good,1,7.2217027238834035
16 - 21,Male,7 - 8 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Exhausted,Sometimes,Weak,Medium,Average,1,6.4227821621601
45 - 60,Male,Less than 7 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Occasionally tired,Never,Moderate,Medium,Poor,2,8.42648957444599
30 - 45,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Stable,Often tired,Sometimes,Weak,Medium,Good,2,8.521570097233795
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Stable,Occasionally tired,Never,Weak,Low,Good,2,8.122554395138993
16 - 21,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,Daily,Neutral,Fresh,Never,Moderate,Medium,Average,1,6.177247241432484
16 - 21,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,Never,Neutral,Often tired,Never,Moderate,Medium,Average,0,6.088050378540592
45 - 60,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Fresh,Never,Moderate,Medium,Average,1,7.045105748046226
16 - 21,Male,More than 10 hours,More than 6 hours,4 - 6 hours,Never,Stable,Occasionally tired,Sometimes,Weak,High,Good,0,5.740145511857027
45 - 60,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,Daily,Neutral,Occasionally tired,Frequently,Strong,Medium,Average,2,8.541934359909122
30 - 45,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,Daily,Unstable,Exhausted,Frequently,Weak,Low,Poor,0,5.566922183952643
45 - 60,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Stable,Occasionally tired,Frequently,Strong,Low,Average,2,7.9875911927287815
30 - 45,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Moderate,Medium,Average,0,6.287785166101916
45 - 60,Female,9 - 10 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Strong,Low,Good,2,8.045465658763987
16 - 21,Male,More than 10 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Exhausted,Frequently,Moderate,High,Average,0,6.077194422449061
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Exhausted,Sometimes,Moderate,Medium,Good,1,6.943414270169826
16 - 21,Female,7 - 8 hours,More than 6 hours,Less than 4 hours,Daily,Unstable,Fresh,Never,Strong,Low,Average,2,7.855082036717099
45 - 60,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Often tired,Frequently,Moderate,Low,Poor,0,4.803349759465503
45 - 60,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Sometimes,Strong,Medium,Poor,1,7.3162080202905795
22 - 30,Male,Less than 7 hours,4 - 6 hours,More than 8 hours,Never,Neutral,Exhausted,Frequently,Moderate,Low,Good,2,7.05083825348819
16 - 21,Female,Less than 7 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Occasionally tired,Frequently,Weak,Medium,Good,1,7.102606565705829
22 - 30,Male,More than 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Weak,Low,Average,1,7.205221395577273
16 - 21,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,Daily,Neutral,Often tired,Never,Moderate,High,Average,0,5.123444135591097
22 - 30,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Unstable,Exhausted,Never,Moderate,Low,Poor,0,4.996978279628932
30 - 45,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Frequently,Strong,Low,Average,2,7.2157828539866085
45 - 60,Male,7 - 8 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Exhausted,Frequently,Weak,Medium,Poor,0,5.987892585145354
16 - 21,Male,More than 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Strong,Low,Good,0,4.567064869471559
16 - 21,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Unstable,Fresh,Never,Moderate,Medium,Average,0,5.639779369742633
45 - 60,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Moderate,High,Good,0,6.024917371481381
16 - 21,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Frequently,Strong,Medium,Average,1,6.42305185885696
16 - 21,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Frequently,Moderate,Medium,Poor,0,6.253531273523499
22 - 30,Female,More than 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Neutral,Exhausted,Frequently,Weak,Low,Good,2,7.062858371373468
16 - 21,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Exhausted,Sometimes,Strong,High,Good,2,8.27282082252756
30 - 45,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,Never,Stable,Often tired,Frequently,Weak,Medium,Average,0,5.184163497431815
30 - 45,Female,More than 10 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Often tired,Sometimes,Weak,Low,Good,1,6.266159315669584
45 - 60,Female,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Often tired,Frequently,Weak,Low,Poor,1,7.125922127461287
16 - 21,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,Daily,Neutral,Occasionally tired,Sometimes,Strong,Medium,Good,1,7.210252108900896
45 - 60,Male,More than 10 hours,More than 6 hours,Less than 4 hours,Daily,Stable,Often tired,Frequently,Moderate,Low,Good,1,7.48575771300101
30 - 45,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Often tired,Never,Weak,Medium,Average,0,6.142514609344026
16 - 21,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Fresh,Never,Weak,Medium,Good,2,7.628711962152654
16 - 21,Female,Less than 7 hours,Less than 2 hours,Less than 4 hours,Daily,Stable,Exhausted,Never,Weak,Medium,Average,1,6.618926515367139
45 - 60,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Never,Moderate,High,Average,0,4.7212634739104145
30 - 45,Male,7 - 8 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Frequently,Moderate,Medium,Good,2,8.017141382329406
16 - 21,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Exhausted,Never,Strong,Low,Poor,1,6.558027128689175
45 - 60,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Fresh,Sometimes,Moderate,High,Average,0,6.192904583469036
30 - 45,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Neutral,Fresh,Never,Strong,Low,Good,2,8.815132947852186
45 - 60,Female,More than 10 hours,Less than 2 hours,More than 8 hours,Daily,Unstable,Often tired,Never,Strong,High,Average,0,4.754977324663965
22 - 30,Female,More than 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Neutral,Fresh,Never,Strong,High,Poor,1,7.164619441112995
16 - 21,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,Daily,Stable,Exhausted,Frequently,Strong,High,Poor,0,5.2945745811207345
22 - 30,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Strong,High,Average,0,6.094590731559107
30 - 45,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,Daily,Stable,Exhausted,Sometimes,Weak,Low,Poor,1,6.511205310379527
22 - 30,Male,More than 10 hours,More than 6 hours,6 - 8 hours,Never,Unstable,Occasionally tired,Never,Moderate,Medium,Good,0,4.799834854697547
22 - 30,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Often tired,Never,Weak,Low,Good,2,7.49858445829775
30 - 45,Female,More than 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Never,Strong,Medium,Average,1,7.396135988405347
45 - 60,Male,9 - 10 hours,4 - 6 hours,More than 8 hours,Never,Unstable,Fresh,Sometimes,Moderate,Low,Poor,1,7.2876191277645175
22 - 30,Male,7 - 8 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Stable,Exhausted,Never,Weak,High,Good,0,4.958502790465283
45 - 60,Female,7 - 8 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Weak,High,Good,0,5.944505136786132
22 - 30,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,1 - 2 times per week,Neutral,Exhausted,Sometimes,Strong,Medium,Good,1,6.643491041062528
45 - 60,Female,Less than 7 hours,4 - 6 hours,6 - 8 hours,Never,Stable,Often tired,Never,Weak,Medium,Average,1,7.126306601687246
30 - 45,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Often tired,Sometimes,Weak,Low,Average,1,7.131814311127023
22 - 30,Male,More than 10 hours,More than 6 hours,Less than 4 hours,Never,Stable,Fresh,Frequently,Weak,Medium,Good,1,6.154685803253899
30 - 45,Male,More than 10 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Often tired,Never,Weak,Low,Good,1,7.3538293600193505
22 - 30,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Occasionally tired,Never,Weak,Medium,Poor,0,5.940073073092149
30 - 45,Male,More than 10 hours,Less than 2 hours,More than 8 hours,Never,Unstable,Often tired,Sometimes,Strong,Medium,Poor,0,5.782295265770594
30 - 45,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Stable,Fresh,Sometimes,Strong,Medium,Poor,2,7.820765846071259
22 - 30,Male,Less than 7 hours,2 - 4 hours,4 - 6 hours,Daily,Neutral,Exhausted,Never,Weak,High,Average,0,5.8878968889342005
22 - 30,Female,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Exhausted,Frequently,Strong,High,Good,1,6.757878558671786
22 - 30,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Often tired,Sometimes,Strong,Low,Average,1,7.239686199161612
16 - 21,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Moderate,Medium,Good,2,8.511102277086097
45 - 60,Female,7 - 8 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Neutral,Fresh,Frequently,Weak,Low,Poor,1,6.4800744015459175
